key	one	few	many	gender
користувач	користувач	користувачі	користувачів	m
користувачі	користувач	користувачі	користувачів	m
користувачів	користувач	користувачі	користувачів	m
документ	документ	документи	документів	m
документи	документ	документи	документів	m
документів	документ	документи	документів	m
файл	файл	файли	файлів	m
файли	файл	файли	файлів	m
файлів	файл	файли	файлів	m
товар	товар	товари	товарів	m
товари	товар	товари	товарів	m
товарів	товар	товари	товарів	m
учасник	учасник	учасники	учасників	m
учасники	учасник	учасники	учасників	m
учасників	учасник	учасники	учасників	m
день	день	дні	днів	m
дні	день	дні	днів	m
днів	день	дні	днів	m
тиждень	тиждень	тижні	тижнів	m
тижні	тиждень	тижні	тижнів	m
тижнів	тиждень	тижні	тижнів	m
місяць	місяць	місяці	місяців	m
місяці	місяць	місяці	місяців	m
місяців	місяць	місяці	місяців	m
заявка	заявка	заявки	заявок	f
заявки	заявка	заявки	заявок	f
заявок	заявка	заявки	заявок	f
спроба	спроба	спроби	спроб	f
спроби	спроба	спроби	спроб	f
спроб	спроба	спроби	спроб	f
людина	людина	людини	людей	f
людини	людина	людини	людей	f
людей	людина	людини	людей	f
особа	особа	особи	осіб	f
особи	особа	особи	осіб	f
осіб	особа	особи	осіб	f
дитина	дитина	дитини	дітей	f
дитини	дитина	дитини	дітей	f
дітей	дитина	дитини	дітей	f
місто	місто	міста	міст	n
міста	місто	міста	міст	n
міст	місто	міста	міст	n
село	село	села	сіл	n
села	село	села	сіл	n
сіл	село	села	сіл	n
питання	питання	питання	питань	n
питань	питання	питання	питань	n
# Common reading nouns in singular, paucal, and genitive plural forms.
книга	книга	книги	книг	f
книги	книга	книги	книг	f
книг	книга	книги	книг	f
сторінка	сторінка	сторінки	сторінок	f
сторінки	сторінка	сторінки	сторінок	f
сторінок	сторінка	сторінки	сторінок	f
помилка	помилка	помилки	помилок	f
помилки	помилка	помилки	помилок	f
помилок	помилка	помилки	помилок	f
пісня	пісня	пісні	пісень	f
пісні	пісня	пісні	пісень	f
пісень	пісня	пісні	пісень	f
година	година	години	годин	f
години	година	години	годин	f
годин	година	години	годин	f
хвилина	хвилина	хвилини	хвилин	f
хвилини	хвилина	хвилини	хвилин	f
хвилин	хвилина	хвилини	хвилин	f
секунда	секунда	секунди	секунд	f
секунди	секунда	секунди	секунд	f
секунд	секунда	секунди	секунд	f
задача	задача	задачі	задач	f
задачі	задача	задачі	задач	f
задач	задача	задачі	задач	f
квиток	квиток	квитки	квитків	m
квитки	квиток	квитки	квитків	m
квитків	квиток	квитки	квитків	m
пристрій	пристрій	пристрої	пристроїв	m
пристрої	пристрій	пристрої	пристроїв	m
пристроїв	пристрій	пристрої	пристроїв	m
сервер	сервер	сервери	серверів	m
сервери	сервер	сервери	серверів	m
серверів	сервер	сервери	серверів	m
сайт	сайт	сайти	сайтів	m
сайти	сайт	сайти	сайтів	m
сайтів	сайт	сайти	сайтів	m
запис	запис	записи	записів	m
записи	запис	записи	записів	m
записів	запис	записи	записів	m
рядок	рядок	рядки	рядків	m
рядки	рядок	рядки	рядків	m
рядків	рядок	рядки	рядків	m
курс	курс	курси	курсів	m
курси	курс	курси	курсів	m
курсів	курс	курси	курсів	m
слово	слово	слова	слів	n
слова	слово	слова	слів	n
слів	слово	слова	слів	n
