latin	cyrillic
python	пайтон
java	джава
javascript	джаваскрипт
typescript	тайпскрипт
docker	докер
kubernetes	кубернетіс
linux	лінукс
windows	віндовс
macos	макос
google	гугл
shop	шоп
server	сервер
client	клієнт
cloud	клауд
api	ей пі ай
web	веб
online	онлайн
offline	офлайн
browser	браузер
plugin	плагін
chat	чат
bot	бот
code	код
file	файл
script	скрипт
test	тест
build	білд
release	реліз
update	апдейт
backup	бекап
cache	кеш
database	дейтабейс
frontend	фронтенд
backend	бекенд
framework	фреймворк
download	даунлоуд
upload	аплоуд
account	акаунт
login	логін
token	токен
mobile	мобайл
desktop	десктоп
message	меседж
feature	фіча
bug	баг
link	лінк
click	клік
