code	one	few	many	decimal	feminine
BTC	біткоїн	біткоїни	біткоїнів	біткоїна	0
ETH	ефір	ефіри	ефірів	ефіра	0
USDT	тезер	тезери	тезерів	тезера	0
BNB	бі ен бі	бі ен бі	бі ен бі	бі ен бі	0
SOL	солана	солани	солан	солани	1
XRP	ікс ар пі	ікс ар пі	ікс ар пі	ікс ар пі	0
ADA	ада	ади	ад	ади	1
DOGE	доджкоїн	доджкоїни	доджкоїнів	доджкоїна	0
UAH	гривня	гривні	гривень	гривні	1
USD	долар США	долари США	доларів США	долара США	0
EUR	євро	євро	євро	євро	0
GBP	фунт стерлінгів	фунти стерлінгів	фунтів стерлінгів	фунта стерлінгів	0
